User ID (click to view url),Date Created,Name,Username,URL,Profile Image,Location,Bio,Followers,Friends,Favourites,Statuses,Media,Verified,Profile URL,(view source)
7738,07/10/06 23:58:55,Peter Kazanjy,Kazanjy,https://www.foundingsales.com/,https://pbs.twimg.com/profile_images/822616099736944642/aBQvLllq_normal.jpg,San Francisco,"Tweeting Founder Led Sales & SaaS. Author @foundingsales. Founder @atriumhq,  @founderledsales, @modernsalespros, @talentbinhiring (acquired). B2B Angel.",20440,4978,33458,50572,4490,no,https://www.twitter.com/Kazanjy,view user
745933,02/02/07 02:45:36,Danny Yang,huuep,https://bitcoinmagazine.com/technical/the-rise-of-ordinals-and-nfts-on-the-medium-of-bitcoin,https://pbs.twimg.com/profile_images/1836640650412068867/0EZw0Bg-_normal.jpg,,"Builder of 3 x Bitcoin ventures since 2013. 
Creator of @OnChainMonkey. 
Pushing the boundaries of on-chain art and tech. 
Stanford PhD. Harvard.",63236,5432,99858,20322,1168,no,https://www.twitter.com/huuep,view user
1159251,14/03/07 14:25:11,Shervin- e/cc,shervin,https://shervinpishevar.substack.com?r=3krhf&utm_medium=ios,https://pbs.twimg.com/profile_images/1879754689828327425/D5Jx99Mz_normal.jpg,"Miami, FL",@Cal Uber Hyperloop Telly Edison Sofreh Abra Sherpa Menlo ETCHED-EXOWATT-VARDA-GAMETO-QBTS-IONQ-ABNB-FB-SPOT-WRBY-HOOD-SLACK-SPACEX-POSTMATES-PILLPACK #FreeIran,106418,8453,33188,43887,1577,no,https://www.twitter.com/shervin,view user
1190051,14/03/07 23:37:07,Roelof Botha,roelofbotha,http://www.sequoiacap.com/people/roelof-botha,https://pbs.twimg.com/profile_images/888441075731374081/KBGz2sYe_normal.jpg,"Menlo Park, CA",@Sequoia partner @PayPal CFO before. Working with entrepreneurs from idea to IPO and beyond: @nateragenetics @Instagram @MongoDB @Square @Unity3D @YouTube,111028,480,4766,1577,99,no,https://www.twitter.com/roelofbotha,view user
